serial_no,company_name,logo_url,notes
1,ACC Ltd,https://images.5paisa.com/MarketIcons/ACC.png,Valid
2,Aegis Logistics Ltd,https://images.5paisa.com/MarketIcons/500003.png,Valid
3,Amrutanjan Health Care Ltd,https://images.5paisa.com/MarketIcons/AMRUTANJAN.png,Valid
4,Andhra Cements Ltd,https://images.5paisa.com/MarketIcons/532141.png,Valid
5,Andhra Paper Ltd,https://images.5paisa.com/MarketIcons/ANDHRAPAP.png,Valid
6,Apollo Tyres Ltd,https://images.5paisa.com/MarketIcons/APOLLOTYRE.png,Valid
7,Arvind Ltd,https://images.5paisa.com/MarketIcons/ARVIND.png,Valid
8,Ashok Leyland Ltd,https://images.5paisa.com/MarketIcons/ASHOKLEY.png,Valid
9,Asian Hotels (North) Ltd,https://images.5paisa.com/MarketIcons/ASIANHOTNR.png,Valid
10,Asian Paints Ltd,https://images.5paisa.com/MarketIcons/ASIANPAINT.png,Valid
11,Astrazeneca Pharma India Ltd,https://images.5paisa.com/MarketIcons/ASTRAZEN.png,Valid
12,Atlas Cycles (Haryana) Ltd,https://images.5paisa.com/MarketIcons/ATLASCYCLE.png,Valid
13,Atul Ltd,https://images.5paisa.com/MarketIcons/ATUL.png,Valid
14,Bajaj Electricals Ltd,https://images.5paisa.com/MarketIcons/BAJAJELEC.png,Valid
15,Bajaj Holdings & Investment Ltd,https://images.5paisa.com/MarketIcons/BAJAJHLDNG.png,Valid
16,Balkrishna Industries Ltd,https://images.5paisa.com/MarketIcons/BALKRISIND.png,Valid
17,Bannari Amman Sugars Ltd,https://images.5paisa.com/MarketIcons/BANARISUG.png,Valid
18,BASF India Ltd,https://images.5paisa.com/MarketIcons/BASF.png,Valid
19,Bata India Ltd,https://images.5paisa.com/MarketIcons/BATAINDIA.png,Valid
20,Bayer CropScience Ltd,https://images.5paisa.com/MarketIcons/BAYERCROP.png,Valid
21,Berger Paints India Ltd,https://images.5paisa.com/MarketIcons/BERGEPAINT.png,Valid
22,Bharat Bijlee Ltd,https://images.5paisa.com/MarketIcons/BBL.png,Valid
23,Bharat Forge Ltd,https://images.5paisa.com/MarketIcons/BHARATFORG.png,Valid
24,Bharat Gears Ltd,https://images.5paisa.com/MarketIcons/BHARATGEAR.png,Valid
25,Birla Corporation Ltd,https://images.5paisa.com/MarketIcons/BIRLACORPN.png,Valid
26,Bliss GVS Pharma Ltd,https://images.5paisa.com/MarketIcons/BLISSGVS.png,Valid
27,Blue Star Ltd,https://images.5paisa.com/MarketIcons/BLUESTARCO.png,Valid
28,Bombay Burmah Trading Corporation Ltd,https://images.5paisa.com/MarketIcons/BBTC.png,Valid
29,Force Motors Ltd,https://images.5paisa.com/MarketIcons/FORCEMOT.png,Valid
30,SKF India Ltd,https://images.5paisa.com/MarketIcons/SKFINDIA.png,Valid
31,Trade Better,https://storage.googleapis.com/5paisa-prod-storage/pages/trade-station/trade-better.png,Valid
